flow,ecoinvent_dataset,geography,reference_unit,gwp100_kg_co2e_per_unit,database,impact_method,uuid,used_for,config_path
Grid electricity,"market for electricity, low voltage | electricity, low voltage | Cutoff, S - US-SERC",US-SERC,kWh,0.610519719405792,ecoinvent 3.7 cut-off,"TRACI 2.2, global warming (100 yr) ⚑ confirm method version",⚑ to be added from ecoQuery (not recorded in the export used),"cell electricity, pumping and downstream electricity; credit for exported power",plant.energy.electricity_kg_co2e_per_kWh
Process steam,"steam production, as energy carrier, in chemical industry | heat, from steam, in chemical industry | Cutoff, S - RoW",RoW ⚑,MJ,0.11968022743032339,ecoinvent 3.7 cut-off,"TRACI 2.2, global warming (100 yr) ⚑ confirm method version",⚑ to be added from ecoQuery (not recorded in the export used),evaporation and distillation heat,plant.energy.steam_kg_co2e_per_MJ
Hydrogen peroxide (avoided product),"market for hydrogen peroxide, without water, in 50% solution state | hydrogen peroxide, without water, in 50% solution state | Cutoff, S - RoW",RoW,kg H₂O₂ (100 % basis; the reference flow is the H₂O₂ contained in the 50 % solution),1.46479885222015,ecoinvent 3.7 cut-off,"TRACI 2.2, global warming (100 yr) ⚑ confirm method version",⚑ to be added from ecoQuery (not recorded in the export used),avoided burden of the conventional product,products.hydrogen_peroxide.avoided_gwp_kg_co2e_per_kg
Cation-exchange membrane (proxy),"market for polystyrene, general purpose | polystyrene, general purpose | Cutoff, S - GLO",GLO,kg,2.321921663018278,ecoinvent 3.7 cut-off,"TRACI 2.2, global warming (100 yr) ⚑ confirm method version",⚑ to be added from ecoQuery (not recorded in the export used),"membrane polymer (polystyrene backbone; omits sulfonation, so it understates)",cell.stack_items.membrane_cem.gwp_kg_co2e_per_kg
"Frames, spacers, gaskets","market for polyvinylchloride, suspension polymerised | polyvinylchloride, suspension polymerised | Cutoff, S - GLO",GLO,kg,2.38152193642087,ecoinvent 3.7 cut-off,"TRACI 2.2, global warming (100 yr) ⚑ confirm method version",⚑ to be added from ecoQuery (not recorded in the export used),"PVC frames, spacers and gaskets",cell.stack_items.frames_spacers_gaskets.gwp_kg_co2e_per_kg
Carbon-felt anode and biocathode,—,—,kg,25.0,"literature (PAN-based carbon fiber, range 20–31 kg CO₂e kg⁻¹)",—,—,anode felt; biocathode felt,cell.stack_items.anode_carbon_felt.gwp_kg_co2e_per_kg
"Tanks, piping, pumps",—,—,kg,1.9,literature (HDPE),—,—,"tanks, piping and pumps",cell.stack_items.tanks_piping_pumps.gwp_kg_co2e_per_kg
Power electronics,—,—,kg,20.0,"literature (indicative, electronic equipment)",—,—,rectifier and inverter,cell.stack_items.power_electronics.gwp_kg_co2e_per_kg
Stainless/nickel mesh cathode,—,—,kg,4.5,literature (stainless steel),—,—,hydrogen and caustic cathodes,cell.cathode_types.ss_mesh.gwp_kg_co2e_per_kg
Carbon–PTFE gas-diffusion electrode,—,—,kg,30.0,literature (indicative),—,—,hydrogen peroxide cathode,cell.cathode_types.gde_carbon.gwp_kg_co2e_per_kg
Catalyzed gas-diffusion electrode,—,—,kg,40.0,literature (indicative; Sn/Bi or Ag catalyst),—,—,CO₂-reduction cathodes,cell.cathode_types.gde_catalyst.gwp_kg_co2e_per_kg
Metal plating blank,—,—,kg,5.0,literature (stainless steel / titanium),—,—,electrodeposition cathodes,cell.cathode_types.metal_plate.gwp_kg_co2e_per_kg
Sulfuric acid,—,—,kg,0.13,literature (indicative),—,—,acidification of formate and acetate,dsp.acidification.h2so4_kg_co2e_per_kg
Other avoided products,see Table S1,—,kg,,literature ranges (indicative; swept as burden multiples),—,—,avoided burdens of the twelve products other than hydrogen peroxide,
