key,product,group,phase,formula,M_g_per_mol,electrons_per_mol,half_reaction,E_cathode_V_SHE,cathode_class,dsp_class,catholyte_wt_pct,product_wt_pct,price_usd_per_kg,feedstock,feedstock_kg_per_kg,feedstock_usd_per_kg,co2_kg_per_kg,gwp_conventional_kg_per_kg,gwp_feedstock_kg_per_kg,market_note,demonstration,demonstration_ref,price_source,gwp_source,verified
hydrogen,Hydrogen,modelled,gas,H2,2.016,2,2 H+ + 2 e- -> H2,-0.414,ss_mesh,gas,,,2.00,none,0,0,0,11.0,0,"large; grey H2 ~90 Mt/yr",BES pilots on domestic wastewater,"Heidrich 2013; Heidrich 2014",US industrial grey H2 gate price 2024,IEA 2019 SMR,no
methane,Methane,modelled,gas,CH4,16.043,8,CO2 + 8 H+ + 8 e- -> CH4 + 2 H2O,-0.24,biocathode_felt,gas,,,0.25,none,0,0,2.744,0.80,0,large,Electromethanogenesis on biocathodes,Cheng 2009,US industrial natural gas 2024,natural-gas supply incl. upstream methane,no
carbon_monoxide,Carbon monoxide,modelled,gas,CO,28.010,2,CO2 + 2 H+ + 2 e- -> CO + H2O,-0.52,gde_catalyst,gas,,,0.60,none,0,0,1.571,1.60,0,merchant/syngas,Abiotic CO2 electrolysis (Ag),Jouny 2018,merchant CO,syngas / partial oxidation,no
hydrogen_peroxide,Hydrogen peroxide,modelled,liquid,H2O2,34.015,2,O2 + 2 H+ + 2 e- -> H2O2,0.281,gde_carbon,liquid_evap,1.0,35,1.20,none,0,0,0,1.4648,0,~5 Mt/yr,BES cathodic ORR,Rozendal 2009,bulk industrial 100 % basis,ecoinvent 3.7 (100 % basis),yes
formic_acid,Formic acid,modelled,liquid,HCOOH,46.025,2,CO2 + 2 H+ + 2 e- -> HCOOH,-0.43,gde_catalyst,liquid_salt,1.5,85,0.65,none,0,0,0.956,2.50,0,~1 Mt/yr,Abiotic CO2 electrolysis (Sn/Bi); microbial formate,Jouny 2018,formic acid 85 % grade,methyl formate route,no
acetic_acid,Acetic acid,modelled,liquid,CH3COOH,60.052,8,2 CO2 + 8 H+ + 8 e- -> CH3COOH + 2 H2O,-0.28,biocathode_felt,liquid_salt,1.2,99,0.55,none,0,0,1.466,1.60,0,~15 Mt/yr,Microbial electrosynthesis from CO2,Nevin 2010,acetic acid 2024,methanol carbonylation,no
methanol,Methanol,modelled,liquid,CH3OH,32.042,6,CO2 + 6 H+ + 6 e- -> CH3OH + H2O,-0.38,gde_catalyst,liquid_distill,1.0,99.9,0.45,none,0,0,1.373,0.80,0,~100 Mt/yr,Abiotic CO2 electrolysis (low selectivity),Jouny 2018,methanol 2024,natural-gas methanol,no
ethanol,Ethanol,modelled,liquid,C2H5OH,46.068,12,2 CO2 + 12 H+ + 12 e- -> C2H5OH + 3 H2O,-0.31,biocathode_felt,liquid_distill,1.0,95,0.80,none,0,0,1.911,1.40,0,large (fuel),BES mediated acetate reduction; CO2 electrolysis (Cu),"Steinbusch 2010; Jouny 2018",fuel ethanol 2024,ethylene hydration,no
caustic_soda,Caustic soda,modelled,liquid,NaOH,39.997,1,Na+ + H2O + e- -> NaOH + 1/2 H2,-0.828,ss_mesh,liquid_evap,3.0,50,0.50,none,0,0,0,1.10,0,~80 Mt/yr,BES caustic production,Rabaey 2010,caustic 100 % basis,chlor-alkali mass allocation,no
copper,Copper,modelled,solid,Cu,63.546,2,Cu2+ + 2 e- -> Cu,0.28,metal_plate,solid_metal,,,9.00,waste stream,0,0,0,3.30,0,~25 Mt/yr,MFC copper recovery,"ter Heijne 2010; Modin 2012",LME 2024-2025,primary copper (config value; Nuss & Eckelman 2.8),no
nickel,Nickel,modelled,solid,Ni,58.693,2,Ni2+ + 2 e- -> Ni,-0.32,metal_plate,solid_metal,,,16.0,waste stream,0,0,0,12.0,0,~3 Mt/yr,MEC nickel removal,Qin 2012,LME 2024-2025,class I nickel (config value; Nuss & Eckelman 6.5),no
zinc,Zinc,modelled,solid,Zn,65.38,2,Zn2+ + 2 e- -> Zn,-0.82,metal_plate,solid_metal,,,2.80,waste stream,0,0,0,3.50,0,~13 Mt/yr,BES zinc recovery,"Modin 2012",LME 2024-2025,primary zinc (config value; Nuss & Eckelman 3.1),no
lead,Lead,modelled,solid,Pb,207.2,2,Pb2+ + 2 e- -> Pb,-0.19,metal_plate,solid_metal,,,2.10,waste stream,0,0,0,1.70,0,~12 Mt/yr,BES lead recovery,Modin 2012,LME 2024-2025,primary lead (config value; Nuss & Eckelman 1.3),no
butyric_acid,Butyric acid,BES-demonstrated,liquid,C3H7COOH,88.106,20,4 CO2 + 20 H+ + 20 e- -> C4H8O2 + 6 H2O,-0.30,biocathode_felt,liquid_salt,1.0,99,2.00,none,0,0,2.00,3.0,0,~0.1 Mt/yr,Microbial electrosynthesis from CO2,Ganigue 2015,specialty market 2024 (indicative),petrochemical butyraldehyde route (indicative),no
caproic_acid,Caproic acid,BES-demonstrated,liquid,C5H11COOH,116.16,32,6 CO2 + 32 H+ + 32 e- -> C6H12O2 + 10 H2O,-0.30,biocathode_felt,liquid_salt,1.0,99,2.50,none,0,0,2.27,3.5,0,small,Bioelectrochemical chain elongation from CO2,Jourdin 2018,specialty market (indicative),indicative,no
