quantity,value
K_mol_e_per_A_m2_yr,299.6113385500337
mol_e_per_m2_yr_at_j,2996.113385500337
mol_e_per_m3_wastewater,21.25
m3_treated_per_m2_yr,140.9935710823688
plant_current_A,56952.95138888889
area_m2,5695.295138888889
hrt_h,5.125765624999999
R_anode_ohm_m2,0.016666666666666666
R_membrane_ohm_m2,0.003
R_cathode_ohm_m2,0.0003333333333333333
R_total_ohm_m2,0.02
eta_ohm_V_at_j,0.2
electricity_usd_per_m2_yr_per_V,5.621
electricity_kg_co2e_per_m2_yr_per_V,49.02473346828509
electricity_kg_co2e_per_mol_e_per_V,0.016362776424129956
treatment_credit_usd_per_m2_yr,28.198714216473757
stack_uninstalled_usd_plant_min,1879447.3958333333
stack_uninstalled_usd_plant_max,3360224.1319444445
h2a_v3_distributed_multiplier_min,1.4378970646139175
h2a_v3_distributed_multiplier_max,1.4945512355033939
recirculation_flow_m3_per_h_per_m2,0.9
recirculation_reynolds,1500.0
recirculation_pressure_drop_Pa,575.9999999999999
recirculation_power_W_per_m2,0.23999999999999994
