product,label,phase,mode,j_A_m2,ce,anode_thickness_mm,stack_cost_mult,price_mult,grid_ci,catholyte_wt_pct,mol_e_per_m2_yr,m3_treated_per_m2_yr,kg_formed_per_m2_yr,kg_sold_per_m2_yr,dsp_recovery,E_thermo_V,eta_ohm_V,eta_ph_V,eta_kin_V,V_applied_V,kWh_cell_per_m2_yr,kWh_pump_per_m2_yr,revenue,credit_treatment,cost_stack,cost_elec_cell,cost_pump,cost_dsp_var,cost_dsp_capex,cost_co2,cost_total,margin,margin_per_mol_e,revenue_per_mol_e,cost_per_mol_e,margin_over_revenue,breakeven_price_usd_per_kg,breakeven_price_mult,gwp_avoided,gwp_credit_treatment,gwp_stack,gwp_elec_cell,gwp_pump,gwp_dsp,gwp_co2,gwp_total,env_margin,env_margin_per_mol_e,gwp_avoided_per_mol_e,gwp_total_per_mol_e,env_margin_over_avoided,dsp_route,dsp_electricity_kWh_per_kg,dsp_steam_MJ_per_kg,dsp_chemicals_usd_per_kg,dsp_water_removed_kg_per_kg,dsp_capex_usd,area_m2,volume_m3,hrt_h,current_plant_A,product_t_per_yr,stack_tic_usd,margin_plant_usd_per_yr,env_margin_plant_t_per_yr
hydrogen,Hydrogen,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,3.0200822925843394,2.7180740633259055,0.9,-0.13399999999999995,0.2,0.0,0.0,0.33399999999999996,28.23178947368421,4.747071421647375,5.436148126651811,28.19871421647376,98.33066813555696,1.976225263157895,0.33229499951531627,0.4228115209618076,2.4362762795065,0.0,103.49827619869848,-69.8634138555729,-0.02331801399562388,0.0018144,0.03454417870150624,-12.851639106935561,27.703278213871123,13.851639106935561,29.89881469658496,49.34774987882907,2.13071955,17.236064187797076,2.898180712343409,3.6876395877019834,0.0,25.952604037842466,53.293960537571564,0.017787698154378,0.0099792,0.008662090080916115,1.7824773683639972,gas,2.0,0.0,0.0,0.0,94095.67176822902,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,15.480234,2904600.520833333,-397892.761317827,303.5248343817676
methane,Methane,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,6.008330880447738,5.828080954034306,0.97,0.040000000000000036,0.2,0.0,0.0,0.15999999999999998,13.524210526315787,4.747071421647375,1.4570202385085764,28.19871421647376,95.57534452264919,0.9466947368421053,0.33229499951531627,0.23552657051355136,1.41876087340214,0.49460579807845784,99.00322750100075,-69.34749304601841,-0.023145817305054266,0.0004863034375,0.033043885448436616,-47.59542195309747,12.148855488274368,48.59542195309747,4.662464763227445,49.34774987882907,2.18071955,8.256797215711172,2.898180712343409,2.0541945106077404,0.0,15.389891988662322,38.6203226533942,0.012890140553524073,0.001556171,0.005136618681770043,8.28324172184424,gas,0.56,0.0,0.0,0.0,54796.43609562037,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,33.1926411265625,2819171.09375,-394954.4400391197,219.95413587019638
carbon_monoxide,Carbon monoxide,gas,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,41.96056796393222,37.764511167539,0.9,-0.24,0.2,0.0,0.0,0.44,37.19157894736843,4.747071421647375,22.6587067005234,28.19871421647376,203.59250938665548,2.6034105263157903,0.33229499951531627,2.3497918059802045,23.056511730006907,1.9776015681401253,233.91212001661384,-183.0546990996167,-0.061097387029979654,0.007562700000000001,0.078071851735862,-8.078779672601009,5.447267803560605,9.078779672601009,60.4232178680624,49.34774987882907,6.48071955,22.706192343205732,2.898180712343409,20.494203343558052,0.0,52.57929594910719,57.19167179778428,0.01908862063584204,0.020167200000000003,0.01754916759945208,0.9465181401405269,gas,0.8,0.0,0.0,0.0,890505.7189599681,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,215.08003687500002,5040336.197916666,-1042550.5379328153,325.72345037484956
hydrogen_peroxide,Hydrogen peroxide,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,50.956398403896976,49.42770645178007,0.97,0.561,0.2,0.0,0.0,-0.36100000000000004,-26.089470000000002,4.747071421647375,59.31324774213608,28.19871421647376,144.07327972883678,-1.8262629000000004,0.33229499951531627,39.1053960322478,14.10074829073258,0.0,195.78545615133248,-108.27349419272264,-0.036137982866974,0.01979673,0.06534647757285636,-1.8254521260316225,3.390542551237947,2.8254521260316223,72.40164767844195,49.34774987882907,4.68071955,-15.92813590384583,2.898180712343409,504.15953251169975,0.0,495.8102968701973,-374.06089931292627,-0.12484871271000308,0.024165189484760177,0.1654844904300574,-5.166469428627455,liquid_evaporation,0.9714285714285714,77.71428571428572,0.0,97.14285714285714,544609.5724085751,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,281.50537628125,3758894.7916666665,-616649.5051463275,-2130.387221505315
formic_acid,Formic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.5,2996.113385500337,140.9935710823688,68.9480592838265,65.50065631963517,0.95,-0.14999999999999997,0.2,0.0,0.0,0.35,29.58421052631579,4.747071421647375,42.575426607762864,28.19871421647376,203.59250938665548,2.0708947368421056,0.33229499951531627,44.32211077628648,17.002484583165156,1.9774303402601439,269.29772482272466,-198.52358399848805,-0.0662603708388478,0.01421021875,0.08988235429473014,-4.66286775767247,3.6808640424871055,5.66286775767247,163.7516407990879,49.34774987882907,6.48071955,18.061743909368193,2.898180712343409,487.2994817588567,0.0,514.7401259305683,-301.6407352526513,-0.10067734309136593,0.05465468749999999,0.17180261882666004,-1.8420623682344894,liquid_salt_acid,0.6333333333333334,54.66666666666667,0.1065,63.333333333333336,656682.5864700187,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,373.04556953124995,5040336.197916666,-1130650.402901389,-1717.9330131752954
acetic_acid,Acetic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.2,2996.113385500337,140.9935710823688,22.490325128258277,21.365808871845363,0.95,0.0,0.2,0.0,0.0,0.2,16.905263157894737,4.747071421647375,11.751194879514951,28.19871421647376,95.57534452264919,1.1833684210526316,0.33229499951531627,16.65633478998808,9.987831032495002,0.989124499140799,124.72429826484101,-84.7743891688523,-0.028294786699033878,0.00392214625,0.04162869765491623,-7.21410801523117,4.517759408377144,8.21410801523117,34.18529419495258,49.34774987882907,2.18071955,10.320996519638967,2.898180712343409,193.7107674431602,0.0,209.11066422514256,-125.5776201513609,-0.04191350726547688,0.01140988,0.069793975500771,-3.67343979651643,liquid_salt_acid,0.8,67.0,0.0816,80.0,385757.42760199297,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,121.68458740624999,2819171.09375,-482815.1665356393,-715.2016096012811
methanol,Methanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,16.000244183033633,15.520236857542624,0.97,-0.09999999999999998,0.2,0.0,0.0,0.3,25.357894736842105,4.747071421647375,6.984106585894181,28.19871421647376,203.59250938665548,1.7750526315789477,0.33229499951531627,2.32806752911976,4.6290862456948725,0.6590500578991554,213.31606085046351,-178.13324004809556,-0.059454772609798326,0.0023310555,0.07119759281568068,-25.505515681543542,11.927482056694595,26.505515681543542,12.4161894860341,49.34774987882907,6.48071955,15.481494779458451,2.898180712343409,28.395532423568014,0.0,53.25592746536987,8.508011899493297,0.0028396828840549703,0.004144098666666667,0.017775004017905813,0.6852353460828885,liquid_distillation,0.5,12.278000000000002,0.0,99.0,178788.00677317276,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,88.39232952916667,5040336.197916666,-1014521.3761204461,48.455638812793
ethanol,Ethanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,11.502079286935793,11.15701690832772,0.97,-0.02999999999999997,0.2,0.0,0.0,0.22999999999999998,19.44105263157895,4.747071421647375,8.925613526662175,28.19871421647376,95.57534452264919,1.3608736842105265,0.33229499951531627,1.8288536107813653,3.797389280963883,0.6594142055200289,103.5541703036403,-66.42984256050437,-0.022172005532898383,0.002979064,0.03456283423878074,-7.442607991267855,6.754086393014284,8.442607991267854,15.619823671658805,49.34774987882907,2.18071955,11.869145997584813,2.898180712343409,22.47752475394481,0.0,39.425571013873025,25.542002536614845,0.008525045367183076,0.005213361999999999,0.013158904868111039,1.6352298894999189,liquid_distillation,0.5,13.778000000000002,0.0,99.0,146665.58894139386,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,63.542504162499995,2819171.09375,-378337.55941199476,145.4692428842702
caustic_soda,Caustic soda,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,3.0,2996.113385500337,140.9935710823688,119.83554707985698,117.43883613825984,0.98,-0.5479999999999999,0.2,0.0,0.0,0.748,63.22568421052632,4.747071421647375,58.71941806912992,28.19871421647376,98.33066813555696,4.425797894736843,0.33229499951531627,29.6632924205006,11.946254398289646,0.0,144.69830784859937,-57.78017556299568,-0.01928504303028794,0.019598530000000003,0.0482953377361703,-0.984004567193965,0.9920022835969826,1.9840045671939652,129.18271975208583,49.34774987882907,2.13071955,38.60052698344974,2.898180712343409,382.42885015523035,0.0,426.0582774010235,-247.52780777010858,-0.08261630182890178,0.04311676600000001,0.1422036560641959,-1.9161061808045106,liquid_evaporation,0.31333333333333335,25.06666666666667,0.0,31.333333333333336,461397.1092592685,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,668.848832575,2904600.520833333,-329075.15300807584,-1409.7439203329227
copper,Copper,solid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,,2996.113385500337,140.9935710823688,95.1955105975022,92.33964527957714,0.97,0.56,0.2,0.0,0.0,-0.36000000000000004,-26.017200000000006,4.747071421647375,831.0568075161942,28.19871421647376,102.24920504372358,-1.8212040000000007,0.33229499951531627,28.796641955744416,6.1366088020549725,0.0,135.69354680103828,723.5619749316297,0.24150019770056141,0.27737829,0.04528985700532095,0.8706528463368975,1.164124382967922,0.12934715366310245,304.72082942260454,49.34774987882907,2.18071955,-15.884013643724375,2.898180712343409,43.58905231400861,0.0,32.78393893262765,321.284640368806,0.10723380561084905,0.101705373,0.010942155624445064,1.0543573308644083,solid_metal,0.75,0.0,0.25,0.0,237012.66250687937,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,525.9015328875,3160888.802083333,4120898.9985129545,1829.8108504921256
