product,label,phase,mode,j_A_m2,ce,anode_thickness_mm,stack_cost_mult,price_mult,grid_ci,catholyte_wt_pct,mol_e_per_m2_yr,m3_treated_per_m2_yr,kg_formed_per_m2_yr,kg_sold_per_m2_yr,dsp_recovery,E_thermo_V,eta_ohm_V,eta_ph_V,eta_kin_V,V_applied_V,kWh_cell_per_m2_yr,kWh_pump_per_m2_yr,revenue,credit_treatment,cost_stack,cost_elec_cell,cost_pump,cost_dsp_var,cost_dsp_capex,cost_co2,cost_total,margin,margin_per_mol_e,revenue_per_mol_e,cost_per_mol_e,margin_over_revenue,breakeven_price_usd_per_kg,breakeven_price_mult,gwp_avoided,gwp_credit_treatment,gwp_stack,gwp_elec_cell,gwp_pump,gwp_dsp,gwp_co2,gwp_total,env_margin,env_margin_per_mol_e,gwp_avoided_per_mol_e,gwp_total_per_mol_e,env_margin_over_avoided,dsp_route,dsp_electricity_kWh_per_kg,dsp_steam_MJ_per_kg,dsp_chemicals_usd_per_kg,dsp_water_removed_kg_per_kg,dsp_capex_usd,area_m2,volume_m3,hrt_h,current_plant_A,product_t_per_yr,stack_tic_usd,margin_plant_usd_per_yr,env_margin_plant_t_per_yr
hydrogen,Hydrogen,gas,realistic,1.0,0.8,2.0,1.0,1.0,0.610519719405792,,299.6113385500337,14.099357108236878,0.24160658340674715,0.21744592506607244,0.9,-0.13399999999999995,0.03666666666666667,0.2,0.35,0.7206666666666666,6.091529824561404,2.2091871421647373,0.4348918501321449,2.8198714216473757,98.33066813555696,0.4264070877192983,0.15464309995153164,0.033824921676944605,0.20839607145489222,0.0,99.15393931635961,-95.89917604458009,-0.3200785941836623,0.00145152,0.3309418788895447,-220.5126999170954,443.0253998341908,221.5126999170954,2.3919051757267966,4.934774987882907,2.13071955,3.7189990792432415,1.348752314149299,0.2950111670161587,0.0,7.493482110408699,-0.16680194679899607,-0.0005567277513802801,0.007983359999999998,0.025010675986674395,-0.06973601984381014,gas,2.0,0.0,0.0,0.0,80488.27837120359,56952.95138888889,5125.765625,51.25765625,56952.95138888889,12.3841872,29046005.208333336,-5461741.111501467,-9.499863167615255
methane,Methane,gas,realistic,1.0,0.8,2.0,1.0,1.0,0.610519719405792,,299.6113385500337,14.099357108236878,0.480666470435819,0.4662464763227444,0.97,0.040000000000000036,0.03666666666666667,0.2,0.5,0.6966666666666667,5.888666666666667,2.2091871421647373,0.1165616190806861,2.8198714216473757,95.57534452264919,0.4122066666666668,0.15464309995153164,0.018842125641084107,0.12135905719642287,0.03956846384627662,96.32196393595117,-93.38553089522311,-0.31168890786030173,0.00038904274999999996,0.3214897153161841,-801.1687863616576,200.5421965904144,802.1687863616576,0.37299718105819557,4.934774987882907,2.18071955,3.595147121007574,1.348752314149299,0.16433556084861925,0.0,7.288954546005492,-1.981182377064389,-0.006612508013389289,0.0012449368,0.024328033048683407,-5.311521045397075,gas,0.56,0.0,0.0,0.0,46872.196343714684,56952.95138888889,5125.765625,51.25765625,56952.95138888889,26.554112901249997,28191710.9375,-5318581.601501224,-112.83418361347148
carbon_monoxide,Carbon monoxide,gas,realistic,1.0,0.7,2.0,1.0,1.0,0.610519719405792,,299.6113385500337,14.099357108236878,2.9372397574752553,2.64351578172773,0.9,-0.24,0.03666666666666667,0.2,0.65,1.1266666666666667,9.523298245614034,2.2091871421647373,1.586109469036638,2.8198714216473757,203.59250938665548,0.6666308771929825,0.15464309995153164,0.16448542641861433,1.7962311788817449,0.1384321097698088,206.51293207887016,-202.10695118818614,-0.6745637603913153,0.005293890000000001,0.6892694150971976,-127.42307837739642,77.05384702643785,128.42307837739642,4.229625250764368,4.934774987882907,6.48071955,5.814161372729951,1.348752314149299,1.4345942340490636,0.0,15.078227470928315,-5.91382723228104,-0.019738329199759104,0.01411704,0.05032595743505322,-1.3981917738958805,gas,0.8,0.0,0.0,0.0,693753.7456226125,56952.95138888889,5125.765625,51.25765625,56952.95138888889,150.55602581250002,50403361.97916667,-11510587.366377305,-336.8099148823894
hydrogen_peroxide,Hydrogen peroxide,liquid,realistic,1.0,0.7,2.0,1.0,1.0,0.610519719405792,1.0,299.6113385500337,14.099357108236878,3.5669478882727885,3.4599394516246047,0.97,0.561,0.03666666666666667,0.2,0.5,0.17566666666666664,1.4848456140350874,2.2091871421647373,4.151927341949525,2.8198714216473757,144.07327972883678,0.10393919298245613,0.15464309995153164,2.7373777222573463,1.138415982212104,0.0,148.20765572624023,-141.23585696264334,-0.4713969025543325,0.013857710999999998,0.4946663782602148,-34.01693847954633,42.020326175455594,35.01693847954633,5.068115337490936,4.934774987882907,4.68071955,0.9065275276416225,1.348752314149299,35.291167275818985,0.0,42.22716666760991,-32.22427634223607,-0.10755359426043472,0.016915632639332122,0.14093981513506096,-6.358236582316867,liquid_evaporation,0.9714285714285714,77.71428571428572,0.0,97.14285714285714,439687.4750988207,56952.95138888889,5125.765625,51.25765625,56952.95138888889,197.053763396875,37588947.916666664,-8043798.89596149,-1835.267644061493
formic_acid,Formic acid,liquid,realistic,1.0,0.6,2.0,1.0,1.0,0.610519719405792,1.5,299.6113385500337,14.099357108236878,4.13688355702959,3.93003937917811,0.95,-0.14999999999999997,0.03666666666666667,0.2,0.75,1.1366666666666667,9.60782456140351,2.2091871421647373,2.554525596465772,2.8198714216473757,203.59250938665548,0.6725477192982457,0.15464309995153164,2.6593266465771883,1.2514201395581788,0.11864582041560863,208.44909281245626,-203.0746957943431,-0.6777937603333747,0.00852613125,0.695731656289257,-79.49605048988364,52.32243281842437,80.49605048988364,9.825098447945276,4.934774987882907,6.48071955,5.865766355328147,1.348752314149299,29.237968905531403,0.0,42.93320712500885,-28.173333689180666,-0.0940329355541925,0.0327928125,0.1432963362894866,-2.867486146672918,liquid_salt_acid,0.6333333333333334,54.66666666666667,0.1065,63.333333333333336,483332.77997465135,56952.95138888889,5125.765625,51.25765625,56952.95138888889,223.82734171874998,50403361.97916667,-11565703.277888622,-1604.5545040628522
acetic_acid,Acetic acid,liquid,realistic,1.0,0.7,2.0,1.0,1.0,0.610519719405792,1.2,299.6113385500337,14.099357108236878,1.5743227589780795,1.4956066210291754,0.95,0.0,0.03666666666666667,0.2,0.55,0.7866666666666667,6.649403508771931,2.2091871421647373,0.8225836415660466,2.8198714216473757,95.57534452264919,0.4654582456140352,0.15464309995153164,1.1659434352991658,0.8063619207002812,0.06923871493985594,98.23698993915406,-94.59453487594064,-0.3157241489381878,0.002745502375,0.3278814160190701,-114.99685879462689,63.79827233704479,115.99685879462689,2.3929705936466807,4.934774987882907,2.18071955,4.059591964391328,1.348752314149299,13.559753721021215,0.0,21.14881754956184,-13.821071968032253,-0.046130003073045246,0.007986916,0.07058750730833936,-5.775696535814982,liquid_salt_acid,0.8,67.0,0.0816,80.0,311439.0894614871,56952.95138888889,5125.765625,51.25765625,56952.95138888889,85.179211184375,28191710.9375,-5387437.946444002,-787.1508399376759
methanol,Methanol,liquid,realistic,1.0,0.3,2.0,1.0,1.0,0.610519719405792,1.0,299.6113385500337,14.099357108236878,0.480007325491009,0.4656071057262787,0.97,-0.09999999999999998,0.03666666666666667,0.2,0.85,1.1866666666666665,10.030456140350877,2.2091871421647373,0.20952319757682544,2.8198714216473757,203.59250938665548,0.7021319298245614,0.15464309995153164,0.0698420258735928,0.2247853612427052,0.019771501736974662,204.76368330528484,-201.73428868606064,-0.6733199406349302,0.0006993166500000001,0.6834310219908125,-962.8255535384866,433.721499092319,963.8255535384866,0.372485684581023,4.934774987882907,6.48071955,6.1237912683191205,1.348752314149299,0.8518659727070405,0.0,14.80512910517546,-9.497868432711531,-0.031700630819502286,0.0012432296000000002,0.0494144486547964,-25.498613304816974,liquid_distillation,0.5,12.278000000000002,0.0,99.0,86818.27158815032,56952.95138888889,5125.765625,51.25765625,56952.95138888889,26.517698858750002,50403361.97916667,-11489363.13700929,-540.9316391462821
ethanol,Ethanol,liquid,realistic,1.0,0.3,2.0,1.0,1.0,0.610519719405792,1.0,299.6113385500337,14.099357108236878,0.3450623786080738,0.3347105072498316,0.97,-0.02999999999999997,0.03666666666666667,0.2,0.75,1.0166666666666666,8.593508771929825,2.2091871421647373,0.26776840579986527,2.8198714216473757,95.57534452264919,0.6015456140350878,0.15464309995153164,0.054865608323440965,0.18439870764872932,0.019782426165600872,96.59057997877358,-93.50294015132633,-0.312080779732279,0.0008937192,0.32238626363816136,-349.19332574737007,280.15466059789605,350.19332574737007,0.46859471014976417,4.934774987882907,2.18071955,5.246506564149809,1.348752314149299,0.6743257426183444,0.0,9.450304170917454,-4.046934472884782,-0.013507280774051758,0.0015640086,0.031541877609345875,-8.636321292639797,liquid_distillation,0.5,13.778000000000002,0.0,99.0,71219.83830551087,56952.95138888889,5125.765625,51.25765625,56952.95138888889,19.062751248750004,28191710.9375,-5325268.405156676,-230.48486230822567
caustic_soda,Caustic soda,liquid,realistic,1.0,0.9,2.0,1.0,1.0,0.610519719405792,3.0,299.6113385500337,14.099357108236878,10.785199237187127,10.569495252443385,0.98,-0.5479999999999999,0.03666666666666667,0.2,0.4,1.1846666666666668,10.013550877192985,2.2091871421647373,5.284747626221693,2.8198714216473757,98.33066813555696,0.700948561403509,0.15464309995153164,2.669696317845054,1.1214431553023911,0.0,102.97739927005944,-94.87278022219037,-0.31665283657596643,0.017638677000000002,0.34370327828184877,-17.952187489796795,9.476093744898396,18.952187489796792,11.626444777687725,4.934774987882907,2.13071955,6.113470271799484,1.348752314149299,34.418596513970726,0.0,44.01153864991951,-27.450318884348874,-0.0916197598435174,0.038805089400000006,0.14689543747881154,-2.3610243207819384,liquid_evaporation,0.31333333333333335,25.06666666666667,0.0,31.333333333333336,433132.10384101403,56952.95138888889,5125.765625,51.25765625,56952.95138888889,601.9639493175,29046005.208333336,-5403284.840123148,-1563.3766770298203
copper,Copper,solid,realistic,1.0,0.9,2.0,1.0,1.0,0.610519719405792,,299.6113385500337,14.099357108236878,8.567595953775198,8.310568075161942,0.97,0.56,0.03666666666666667,0.2,0.25,-0.07333333333333336,-0.5299800000000002,2.2091871421647373,74.79511267645748,2.8198714216473757,102.24920504372358,-0.037098600000000016,0.15464309995153164,2.5916977760169972,0.5760682560734881,0.0,105.5345155757656,-27.91953147766074,-0.09318583072582318,0.249640461,0.3522380564317055,-0.37328015800220454,12.35952142201984,1.3732801580022045,27.424874648034407,4.934774987882907,2.18071955,-0.3235632408906818,1.348752314149299,3.9230147082607747,0.0,7.128923331519392,25.230726304397923,0.08421152025321135,0.0915348357,0.023793903682082763,0.9199942252500416,solid_metal,0.75,0.0,0.25,0.0,222493.36003290678,56952.95138888889,5125.765625,51.25765625,56952.95138888889,473.31137959875,31608888.020833336,-1590099.7190477652,1436.9643287207352
