product,label,phase,dsp_route,dsp_recovery,catholyte_wt_pct,dsp_water_removed_kg_per_kg,dsp_electricity_kWh_per_kg,dsp_steam_MJ_per_kg,dsp_chemicals_usd_per_kg,dsp_capex_usd,kg_formed_per_m2_yr,product_t_per_yr,cost_dsp_var,cost_dsp_capex,gwp_dsp,revenue,gwp_avoided,dsp_var_usd_per_kg,dsp_capex_usd_per_kg,dsp_gwp_kg_per_kg,dsp_cost_over_price,dsp_gwp_over_avoided
hydrogen,Hydrogen,gas,gas,0.9,,0.0,2.0,0.0,0.0,94095.67176822902,3.0200822925843394,15.480234,0.4228115209618076,2.4362762795065,3.6876395877019834,5.436148126651811,29.89881469658496,0.14,0.8066920181243585,1.221039438811584,0.5259400100690881,0.12333731705167514
methane,Methane,gas,gas,0.97,,0.0,0.56,0.0,0.0,54796.43609562037,6.008330880447738,33.1926411265625,0.23552657051355136,1.41876087340214,2.0541945106077404,1.4570202385085764,4.662464763227445,0.039200000000000006,0.23613228060043434,0.3418910428672435,1.1353908478368426,0.44058124080830346
carbon_monoxide,Carbon monoxide,gas,gas,0.9,,0.0,0.8,0.0,0.0,890505.7189599681,41.96056796393222,215.08003687500002,2.3497918059802045,23.056511730006907,20.494203343558052,22.6587067005234,60.4232178680624,0.05600000000000001,0.5494804491165479,0.4884157755246336,1.12126009095657,0.33917762189210665
hydrogen_peroxide,Hydrogen peroxide,liquid,liquid_evaporation,0.97,1.0,97.14285714285714,0.9714285714285714,77.71428571428572,0.0,544609.5724085751,50.956398403896976,281.50537628125,39.1053960322478,14.10074829073258,504.15953251169975,59.31324774213608,72.40164767844195,0.7674285714285716,0.2767218393059389,9.893939687722186,0.8970364353389266,6.963370982257583
formic_acid,Formic acid,liquid,liquid_salt_acid,0.95,1.5,63.333333333333336,0.6333333333333334,54.66666666666667,0.1065,656682.5864700187,68.9480592838265,373.04556953124995,44.32211077628648,17.002484583165156,487.2994817588567,42.575426607762864,163.7516407990879,0.6428333333333335,0.2465984504824709,7.067631588481347,1.440375358406161,2.9758448793605674
acetic_acid,Acetic acid,liquid,liquid_salt_acid,0.95,1.2,80.0,0.8,67.0,0.0816,385757.42760199297,22.490325128258277,121.68458740624999,16.65633478998808,9.987831032495002,193.7107674431602,11.751194879514951,34.18529419495258,0.7405999999999999,0.4440945595733365,8.6130710133563,2.267358008752797,5.666494087734408
methanol,Methanol,liquid,liquid_distillation,0.97,1.0,99.0,0.5,12.278000000000002,0.0,178788.00677317276,16.000244183033633,88.39232952916667,2.32806752911976,4.6290862456948725,28.395532423568014,6.984106585894181,12.4161894860341,0.14550200000000002,0.2893134750158045,1.7746936920924068,0.9961408362332291,2.2869764073355756
ethanol,Ethanol,liquid,liquid_distillation,0.97,1.0,99.0,0.5,13.778000000000002,0.0,146665.58894139386,11.502079286935793,63.542504162499995,1.8288536107813653,3.797389280963883,22.47752475394481,8.925613526662175,15.619823671658805,0.15900200000000003,0.3301480702951688,1.9542140332378917,0.6303480287308877,1.439038316080922
caustic_soda,Caustic soda,liquid,liquid_evaporation,0.98,3.0,31.333333333333336,0.31333333333333335,25.06666666666667,0.0,461397.1092592685,119.83554707985698,668.848832575,29.6632924205006,11.946254398289646,382.42885015523035,58.71941806912992,129.18271975208583,0.24753333333333336,0.09968873751900015,3.1912805463339216,0.7086164711272113,2.9603715643171813
copper,Copper,solid,solid_metal,0.97,,0.0,0.75,0.0,0.25,237012.66250687937,95.1955105975022,525.9015328875,28.796641955744416,6.1366088020549725,43.58905231400861,831.0568075161942,304.72082942260454,0.3025,0.06446321642205666,0.457889789554344,0.04203473269439366,0.14304585740529335
nickel,Nickel,solid,solid_metal,0.97,,0.0,0.75,0.0,0.55,225980.20743854067,87.92544146758563,485.73849919375,52.97507848422035,5.850962203410996,40.260161890065575,1364.602851576929,1023.4521386826967,0.6025,0.06654458716102092,0.457889789554344,0.043108542987179185,0.03933761078645567
zinc,Zinc,solid,solid_metal,0.97,,0.0,0.75,0.0,0.3,241093.5366160474,97.942946572006,541.0795678749998,34.52488866663211,6.242268675723841,44.847075194188186,266.0130428895683,332.5163036119603,0.3525,0.06373372350131033,0.457889789554344,0.15325247551594637,0.13487180841070517
lead,Lead,solid,solid_metal,0.97,,0.0,0.5,0.0,0.2,481673.1839044715,310.3973467378349,1714.7703649999999,72.9433764833912,12.471231995785159,94.75185051734263,632.2793953049696,511.8452247706897,0.23500000000000001,0.04017828156990821,0.305259859702896,0.1350899762247954,0.18511816840685022
