variant,product,label,phase,mode,j_A_m2,ce,anode_thickness_mm,stack_cost_mult,price_mult,grid_ci,catholyte_wt_pct,mol_e_per_m2_yr,m3_treated_per_m2_yr,kg_formed_per_m2_yr,kg_sold_per_m2_yr,dsp_recovery,E_thermo_V,eta_ohm_V,eta_ph_V,eta_kin_V,V_applied_V,kWh_cell_per_m2_yr,kWh_pump_per_m2_yr,revenue,credit_treatment,cost_stack,cost_elec_cell,cost_pump,cost_dsp_var,cost_dsp_capex,cost_co2,cost_total,margin,margin_per_mol_e,revenue_per_mol_e,cost_per_mol_e,margin_over_revenue,breakeven_price_usd_per_kg,breakeven_price_mult,gwp_avoided,gwp_credit_treatment,gwp_stack,gwp_elec_cell,gwp_pump,gwp_dsp,gwp_co2,gwp_total,env_margin,env_margin_per_mol_e,gwp_avoided_per_mol_e,gwp_total_per_mol_e,env_margin_over_avoided,dsp_route,dsp_electricity_kWh_per_kg,dsp_steam_MJ_per_kg,dsp_chemicals_usd_per_kg,dsp_water_removed_kg_per_kg,dsp_capex_usd,area_m2,volume_m3,hrt_h,current_plant_A,product_t_per_yr,stack_tic_usd,margin_plant_usd_per_yr,env_margin_plant_t_per_yr
mee,hydrogen_peroxide,Hydrogen peroxide,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,50.956398403896976,49.42770645178007,0.97,0.561,0.2,0.0,0.0,-0.36100000000000004,-26.089470000000002,4.747071421647375,59.31324774213608,0.0,144.07327972883678,-1.8262629000000004,0.33229499951531627,39.1053960322478,14.10074829073258,0.0,195.78545615133248,-136.4722084091964,-0.04554974757285636,0.01979673,0.06534647757285636,-2.30087229420497,3.961046753045964,3.30087229420497,72.40164767844195,0.0,4.68071955,-15.92813590384583,2.898180712343409,504.15953251169975,0.0,495.8102968701973,-423.40864919175533,-0.1413193009452972,0.024165189484760177,0.1654844904300574,-5.848052672395576,liquid_evaporation,0.9714285714285714,77.71428571428572,0.0,97.14285714285714,544609.5724085751,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,281.50537628125,3758894.7916666665,-777249.5051463277,-2411.437221505315
mee,formic_acid,Formic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.5,2996.113385500337,140.9935710823688,68.9480592838265,65.50065631963517,0.95,-0.14999999999999997,0.2,0.0,0.0,0.35,29.58421052631579,4.747071421647375,42.575426607762864,0.0,203.59250938665548,2.0708947368421056,0.33229499951531627,44.32211077628648,17.002484583165156,1.9774303402601439,269.29772482272466,-226.7222982149618,-0.07567213554473014,0.01421021875,0.08988235429473014,-5.325191460879527,4.111374449571692,6.325191460879527,163.7516407990879,0.0,6.48071955,18.061743909368193,2.898180712343409,487.2994817588567,0.0,514.7401259305683,-350.9884851314804,-0.11714793132666004,0.05465468749999999,0.17180261882666004,-2.1434196531937,liquid_salt_acid,0.6333333333333334,54.66666666666667,0.1065,63.333333333333336,656682.5864700187,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,373.04556953124995,5040336.197916666,-1291250.402901389,-1998.9830131752951
mee,acetic_acid,Acetic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.2,2996.113385500337,140.9935710823688,22.490325128258277,21.365808871845363,0.95,0.0,0.2,0.0,0.0,0.2,16.905263157894737,4.747071421647375,11.751194879514951,0.0,95.57534452264919,1.1833684210526316,0.33229499951531627,16.65633478998808,9.987831032495002,0.989124499140799,124.72429826484101,-112.97310338532606,-0.03770655140491623,0.00392214625,0.04162869765491623,-9.613754562292579,5.83756500926092,10.61375456229258,34.18529419495258,0.0,2.18071955,10.320996519638967,2.898180712343409,193.7107674431602,0.0,209.11066422514256,-174.92537003018998,-0.058384095500771,0.01140988,0.069793975500771,-5.116977172483058,liquid_salt_acid,0.8,67.0,0.0816,80.0,385757.42760199297,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,121.68458740624999,2819171.09375,-643415.1665356393,-996.2516096012811
mee,methanol,Methanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,16.000244183033633,15.520236857542624,0.97,-0.09999999999999998,0.2,0.0,0.0,0.3,25.357894736842105,4.747071421647375,6.984106585894181,0.0,203.59250938665548,1.7750526315789477,0.33229499951531627,2.32806752911976,4.6290862456948725,0.6590500578991554,213.31606085046351,-206.33195426456933,-0.06886653731568068,0.0023310555,0.07119759281568068,-29.543070645757115,13.744381790590703,30.543070645757115,12.4161894860341,0.0,6.48071955,15.481494779458451,2.898180712343409,28.395532423568014,0.0,53.25592746536987,-40.83973797933577,-0.013630905351239146,0.004144098666666667,0.017775004017905813,-3.289232821814847,liquid_distillation,0.5,12.278000000000002,0.0,99.0,178788.00677317276,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,88.39232952916667,5040336.197916666,-1175121.3761204462,-232.59436118720697
mee,ethanol,Ethanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,11.502079286935793,11.15701690832772,0.97,-0.02999999999999997,0.2,0.0,0.0,0.22999999999999998,19.44105263157895,4.747071421647375,8.925613526662175,0.0,95.57534452264919,1.3608736842105265,0.33229499951531627,1.8288536107813653,3.797389280963883,0.6594142055200289,103.5541703036403,-94.62855677697813,-0.031583770238780735,0.002979064,0.03456283423878074,-10.601910613125712,9.28152849050057,11.601910613125712,15.619823671658805,0.0,2.18071955,11.869145997584813,2.898180712343409,22.47752475394481,0.0,39.425571013873025,-23.805747342214218,-0.007945542868111038,0.005213361999999999,0.013158904868111039,-1.5240727323579368,liquid_distillation,0.5,13.778000000000002,0.0,99.0,146665.58894139386,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,63.542504162499995,2819171.09375,-538937.5594119948,-135.5807571157297
mee,caustic_soda,Caustic soda,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,3.0,2996.113385500337,140.9935710823688,119.83554707985698,117.43883613825984,0.98,-0.5479999999999999,0.2,0.0,0.0,0.748,63.22568421052632,4.747071421647375,58.71941806912992,0.0,98.33066813555696,4.425797894736843,0.33229499951531627,29.6632924205006,11.946254398289646,0.0,144.69830784859937,-85.97888977946945,-0.0286968077361703,0.019598530000000003,0.0482953377361703,-1.4642326611317429,1.2321163305658713,2.4642326611317427,129.18271975208583,0.0,2.13071955,38.60052698344974,2.898180712343409,382.42885015523035,0.0,426.0582774010235,-296.8755576489376,-0.09908689006419588,0.04311676600000001,0.1422036560641959,-2.2981058009822877,liquid_evaporation,0.31333333333333335,25.06666666666667,0.0,31.333333333333336,461397.1092592685,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,668.848832575,2904600.520833333,-489675.15300807595,-1690.7939203329224
mvr,hydrogen_peroxide,Hydrogen peroxide,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,50.956398403896976,49.42770645178007,0.97,0.561,0.2,0.0,0.0,-0.36100000000000004,-26.089470000000002,4.747071421647375,59.31324774213608,0.0,144.07327972883678,-1.8262629000000004,0.33229499951531627,12.127622820127483,14.10074829073258,0.0,168.80768293921216,-109.49443519707609,-0.036545491144284924,0.01979673,0.05634222114428492,-1.8460367517405616,3.4152441020886735,2.846036751740561,72.40164767844195,0.0,4.68071955,-15.92813590384583,2.898180712343409,105.77361258862156,0.0,97.42437694711914,-25.022729268677196,-0.008351729740861766,0.024165189484760177,0.03251691922562194,-0.3456099421909686,liquid_evaporation,3.4000000000000004,0.0,0.0,97.14285714285714,544609.5724085751,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,281.50537628125,3758894.7916666665,-623603.1245132919,-142.51182836562995
mvr,formic_acid,Formic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.5,2996.113385500337,140.9935710823688,68.9480592838265,65.50065631963517,0.95,-0.14999999999999997,0.2,0.0,0.0,0.35,29.58421052631579,4.747071421647375,42.575426607762864,0.0,203.59250938665548,2.0708947368421056,0.33229499951531627,20.523538980152356,17.002484583165156,1.9774303402601439,245.49915302659056,-202.9237264188277,-0.06772898762806348,0.01421021875,0.08193920637806348,-4.766217101905168,3.7480411162383596,5.766217101905168,163.7516407990879,0.0,6.48071955,18.061743909368193,2.898180712343409,135.86143521175427,0.0,163.30207938346587,0.44956141562204266,0.00015004819837516532,0.05465468749999999,0.05450463930162482,0.002745385716004054,liquid_salt_acid,2.216666666666667,4.0,0.1065,63.333333333333336,656682.5864700187,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,373.04556953124995,5040336.197916666,-1155710.5126383682,2.560384945024227
mvr,acetic_acid,Acetic acid,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.2,2996.113385500337,140.9935710823688,22.490325128258277,21.365808871845363,0.95,0.0,0.2,0.0,0.0,0.2,16.905263157894737,4.747071421647375,11.751194879514951,0.0,95.57534452264919,1.1833684210526316,0.33229499951531627,6.850553034067472,9.987831032495002,0.989124499140799,114.9185165089204,-103.16732162940545,-0.034433717404916235,0.00392214625,0.038355863654916236,-8.77930480152703,5.378617640839867,9.77930480152703,34.18529419495258,0.0,2.18071955,10.320996519638967,2.898180712343409,48.90691893121922,0.0,64.30681571320159,-30.121521518249004,-0.010053531907043917,0.01140988,0.021463411907043917,-0.8811251220033791,liquid_salt_acid,2.8000000000000003,3.0,0.0816,80.0,385757.42760199297,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,121.68458740624999,2819171.09375,-587568.3453681393,-171.5509550788206
mvr,methanol,Methanol,liquid,ideal,10.0,1.0,1.0,1.0,1.0,0.610519719405792,1.0,2996.113385500337,140.9935710823688,16.000244183033633,15.520236857542624,0.97,-0.09999999999999998,0.2,0.0,0.0,0.3,25.357894736842105,4.747071421647375,6.984106585894181,0.0,203.59250938665548,1.7750526315789477,0.33229499951531627,2.32806752911976,4.6290862456948725,0.6590500578991554,213.31606085046351,-206.33195426456933,-0.06886653731568068,0.0023310555,0.07119759281568068,-29.543070645757115,13.744381790590703,30.543070645757115,12.4161894860341,0.0,6.48071955,15.481494779458451,2.898180712343409,28.395532423568014,0.0,53.25592746536987,-40.83973797933577,-0.013630905351239146,0.004144098666666667,0.017775004017905813,-3.289232821814847,liquid_distillation,0.5,12.278000000000002,0.0,99.0,178788.00677317276,5695.295138888889,512.5765624999999,5.125765624999999,56952.95138888889,88.39232952916667,5040336.197916666,-1175121.3761204462,-232.59436118720697
