key,product,group,phase,electrons,M_g_per_mol,kg_per_mol_e,price_usd_per_kg,value_added_usd_per_kg,gwp_avoided_kg_per_kg,ppe_usd_per_mol_e,epe_kg_co2e_per_mol_e,E_cell_thermo_V,V_applied_ideal_V,bar_stack_usd_per_mol_e,bar_electricity_usd_per_mol_e,bar_dsp_usd_per_mol_e,bar_econ_usd_per_mol_e,clears_economic,ppe_over_bar,bar_climate_2020_kg_per_mol_e,clears_climate_2020,epe_over_bar_2020,bar_climate_2050_kg_per_mol_e,clears_climate_2050,epe_over_bar_2050,demonstration,demonstration_ref,price_source,gwp_source,market_note,verified
gold,Gold,BES-demonstrated,solid,3,196.97,0.06565666666666667,80000.0,80000.0,12500.0,5252.533333333334,820.7083333333334,1.28,-1.08,0.03412728154366843,-0.0018235665000000004,0.039394,0.07180862372994294,True,73146.2749249589,0.015993586424172968,True,51314.840309544416,0.0032282989209346377,True,254223.15387564135,MFC gold recovery,Choi 2013,LBMA 2024-2025 (~$2500/oz),Nuss & Eckelman 2014,~3.5 kt/yr,no
platinum,Platinum,electrochemical,solid,2,195.08,0.09754,31000.0,31000.0,12500.0,3023.7400000000002,1219.25,0.98,-0.78,0.03412728154366843,-0.0013170202500000002,0.058524,0.09144516997994294,True,33066.15320047204,0.03507834312073307,True,34757.91304633661,0.006354284223282439,True,191878.417325527,Electrochemical recovery from spent-catalyst leachates,Zhang & Xu 2016,LPPM 2024-2025 (~$970/oz),Nuss & Eckelman 2014,~0.2 kt/yr,no
palladium,Palladium,electrochemical,solid,2,106.42,0.05321,33000.0,33000.0,3880.0,1755.93,206.4548,1.13,-0.9299999999999999,0.03412728154366843,-0.001570293375,0.031925999999999996,0.06459389685494293,True,27184.147194947112,0.012476909639791615,True,16546.95000287332,0.0026522852931022594,True,77840.34415035309,Electrochemical recovery from spent-catalyst leachates,Zhang & Xu 2016,LPPM 2024-2025 (~$1000/oz),Nuss & Eckelman 2014,~0.2 kt/yr,no
silver,Silver,BES-demonstrated,solid,1,107.87,0.10787000000000001,950.0,950.0,196.0,102.4765,21.14252,0.9,-0.7,0.03412728154366843,-0.00118194125,0.064722,0.09777824897994294,True,1048.050062964625,0.041008416508401375,True,515.565383893049,0.0073255998416280575,True,2886.114510358136,MFC silver recovery,Choi 2012,LBMA 2024-2025 (~$30/oz),Nuss & Eckelman 2014 (ecoinvent 3.7: 444),~30 kt/yr,no
uranium,Uranium,BES-demonstrated,solid,2,238.03,0.119015,200.0,200.0,70.0,23.803,8.33105,0.38,-0.18,0.03412728154366843,-0.00030392775,0.071409,0.10534326247994294,True,225.95654852185754,0.05379306146945221,True,154.87220419181762,0.009419659141382358,True,884.4322151106412,Electrode-driven U(VI) reduction and recovery,Gregory 2005,U3O8 spot 2024 (~$80/lb) as U,indicative (flag),~50 kt/yr U,no
indium,Indium,electrochemical,solid,3,114.82,0.03827333333333333,280.0,280.0,102.0,10.716533333333333,3.90388,-0.12,0.32,0.03412728154366843,0.000631948538011696,0.022964,0.05783413876795464,True,185.2977075759839,0.02481313696690388,True,157.33117522411823,0.004672896083384169,True,835.4305189626135,Electrowinning from ITO etching waste,Zhang & Xu 2016,USGS MCS 2025 (indicative),Nuss & Eckelman 2014,~1 kt/yr,no
gallium,Gallium,electrochemical,solid,3,69.723,0.023241,450.0,450.0,205.0,10.458450000000001,4.764405,-0.9199999999999999,1.1199999999999999,0.03412728154366843,0.002211819883040936,0.0139446,0.05039461011298388,True,207.53112240678774,0.03167722042690038,True,150.4047683411659,0.005797197763054269,True,821.8462082428357,Industrial electrowinning from Bayer liquor,Moskalyk 2003,USGS MCS 2025 (indicative),Nuss & Eckelman 2014,~0.7 kt/yr,no
tin,Tin,electrochemical,solid,2,118.71,0.059355,31.0,31.0,17.1,1.840005,1.0149705,0.08000000000000002,0.12,0.03412728154366843,0.000236980701754386,0.035613,0.07008817093169734,True,26.252718191107178,0.031066221832378102,True,32.671192057933766,0.005697119325765305,True,178.15503624959743,Electrowinning from e-waste leachates,Zhang & Xu 2016,LME 2024-2025,Nuss & Eckelman 2014,~0.4 Mt/yr,no
vanadium,Vanadium (as V2O5-equivalent),BES-demonstrated,solid,1,50.942,0.050942,18.0,18.0,33.1,0.916956,1.6861802000000001,0.88,-0.6799999999999999,0.03412728154366843,-0.0011481714999999999,0.0305652,0.06365521872994294,True,14.405040439656375,0.015115220636839734,True,111.55511656180124,0.003084427108212825,True,546.6753276516898,MFC vanadium(V) reduction,Zhang 2012; Wang & Ren 2014,V2O5 2024 as V (indicative),Nuss & Eckelman 2014,~0.1 Mt/yr,no
cobalt,Cobalt,BES-demonstrated,solid,2,58.933,0.0294665,27.0,27.0,8.3,0.7955955,0.24457195,-0.06999999999999995,0.26999999999999996,0.03412728154366843,0.0005332065789473685,0.0176799,0.05245129680889031,True,15.168271299350398,0.019900664020778766,True,12.289637659559325,0.0038682582002857588,True,63.22534260560291,MEC cobalt recovery with HER,Jiang 2014,LME 2024-2025,Nuss & Eckelman 2014,~0.2 Mt/yr,no
