cathode_type,item,direct_usd_per_m2,tic_usd_per_m2,life_yr,annual_capital_usd_per_m2,fixed_opex_usd_per_m2,annual_usd_per_m2,kg_per_m2,annual_gwp_kg_per_m2
ss_mesh,membrane_cem,100.0,150.0,5,35.1794864385458,4.5,39.6794864385458,0.4725,0.21941954999999996
ss_mesh,anode_carbon_felt,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
ss_mesh,frames_spacers_gaskets,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,4.0,0.4763
ss_mesh,power_electronics,20.0,30.0,15,4.198642350194757,0.8999999999999999,5.098642350194757,0.1,0.2
ss_mesh,tanks_piping_pumps,50.0,75.0,20,8.809471857940933,2.25,11.059471857940933,3.0,0.285
ss_mesh,cathode,50.0,75.0,10,11.526618064538878,2.25,13.776618064538878,1.0,0.45
gde_carbon,membrane_cem,100.0,150.0,5,35.1794864385458,4.5,39.6794864385458,0.4725,0.21941954999999996
gde_carbon,anode_carbon_felt,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
gde_carbon,frames_spacers_gaskets,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,4.0,0.4763
gde_carbon,power_electronics,20.0,30.0,15,4.198642350194757,0.8999999999999999,5.098642350194757,0.1,0.2
gde_carbon,tanks_piping_pumps,50.0,75.0,20,8.809471857940933,2.25,11.059471857940933,3.0,0.285
gde_carbon,cathode,150.0,225.0,5,52.7692296578187,6.75,59.5192296578187,0.5,3.0
gde_catalyst,membrane_cem,100.0,150.0,5,35.1794864385458,4.5,39.6794864385458,0.4725,0.21941954999999996
gde_catalyst,anode_carbon_felt,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
gde_catalyst,frames_spacers_gaskets,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,4.0,0.4763
gde_catalyst,power_electronics,20.0,30.0,15,4.198642350194757,0.8999999999999999,5.098642350194757,0.1,0.2
gde_catalyst,tanks_piping_pumps,50.0,75.0,20,8.809471857940933,2.25,11.059471857940933,3.0,0.285
gde_catalyst,cathode,300.0,450.0,5,105.5384593156374,13.5,119.0384593156374,0.6,4.8
biocathode_felt,membrane_cem,100.0,150.0,5,35.1794864385458,4.5,39.6794864385458,0.4725,0.21941954999999996
biocathode_felt,anode_carbon_felt,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
biocathode_felt,frames_spacers_gaskets,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,4.0,0.4763
biocathode_felt,power_electronics,20.0,30.0,15,4.198642350194757,0.8999999999999999,5.098642350194757,0.1,0.2
biocathode_felt,tanks_piping_pumps,50.0,75.0,20,8.809471857940933,2.25,11.059471857940933,3.0,0.285
biocathode_felt,cathode,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
metal_plate,membrane_cem,100.0,150.0,5,35.1794864385458,4.5,39.6794864385458,0.4725,0.21941954999999996
metal_plate,anode_carbon_felt,40.0,60.0,10,9.221294451631103,1.7999999999999998,11.021294451631103,0.2,0.5
metal_plate,frames_spacers_gaskets,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,4.0,0.4763
metal_plate,power_electronics,20.0,30.0,15,4.198642350194757,0.8999999999999999,5.098642350194757,0.1,0.2
metal_plate,tanks_piping_pumps,50.0,75.0,20,8.809471857940933,2.25,11.059471857940933,3.0,0.285
metal_plate,cathode,80.0,120.0,20,14.095154972705492,3.5999999999999996,17.69515497270549,2.0,0.5
