product,label,mode,j_A_m2,E_thermo_V,eta_ohm_V,eta_ph_V,eta_kin_V,V_applied_V,kWh_cell_per_m2_yr,cost_elec_cell,gwp_elec_cell
hydrogen,Hydrogen,ideal,10.0,-0.13399999999999995,0.2,0.0,0.0,0.33399999999999996,28.23178947368421,1.976225263157895,17.236064187797076
methane,Methane,ideal,10.0,0.040000000000000036,0.2,0.0,0.0,0.15999999999999998,13.524210526315787,0.9466947368421053,8.256797215711172
carbon_monoxide,Carbon monoxide,ideal,10.0,-0.24,0.2,0.0,0.0,0.44,37.19157894736843,2.6034105263157903,22.706192343205732
hydrogen_peroxide,Hydrogen peroxide,ideal,10.0,0.561,0.2,0.0,0.0,-0.36100000000000004,-26.089470000000002,-1.8262629000000004,-15.92813590384583
formic_acid,Formic acid,ideal,10.0,-0.14999999999999997,0.2,0.0,0.0,0.35,29.58421052631579,2.0708947368421056,18.061743909368193
acetic_acid,Acetic acid,ideal,10.0,0.0,0.2,0.0,0.0,0.2,16.905263157894737,1.1833684210526316,10.320996519638967
methanol,Methanol,ideal,10.0,-0.09999999999999998,0.2,0.0,0.0,0.3,25.357894736842105,1.7750526315789477,15.481494779458451
ethanol,Ethanol,ideal,10.0,-0.02999999999999997,0.2,0.0,0.0,0.22999999999999998,19.44105263157895,1.3608736842105265,11.869145997584813
caustic_soda,Caustic soda,ideal,10.0,-0.5479999999999999,0.2,0.0,0.0,0.748,63.22568421052632,4.425797894736843,38.60052698344974
copper,Copper,ideal,10.0,0.56,0.2,0.0,0.0,-0.36000000000000004,-26.017200000000006,-1.8212040000000007,-15.884013643724375
nickel,Nickel,ideal,10.0,-0.03999999999999998,0.2,0.0,0.0,0.24,20.286315789473683,1.420042105263158,12.385195823566761
zinc,Zinc,ideal,10.0,-0.5399999999999999,0.2,0.0,0.0,0.74,62.549473684210525,4.378463157894737,38.18768712266418
lead,Lead,ideal,10.0,0.09000000000000002,0.2,0.0,0.0,0.10999999999999999,9.297894736842103,0.6508526315789472,5.676548085801431
hydrogen,Hydrogen,realistic,1.0,-0.13399999999999995,0.03666666666666667,0.2,0.35,0.7206666666666666,6.091529824561404,0.4264070877192983,3.7189990792432415
methane,Methane,realistic,1.0,0.040000000000000036,0.03666666666666667,0.2,0.5,0.6966666666666667,5.888666666666667,0.4122066666666668,3.595147121007574
carbon_monoxide,Carbon monoxide,realistic,1.0,-0.24,0.03666666666666667,0.2,0.65,1.1266666666666667,9.523298245614034,0.6666308771929825,5.814161372729951
hydrogen_peroxide,Hydrogen peroxide,realistic,1.0,0.561,0.03666666666666667,0.2,0.5,0.17566666666666664,1.4848456140350874,0.10393919298245613,0.9065275276416225
formic_acid,Formic acid,realistic,1.0,-0.14999999999999997,0.03666666666666667,0.2,0.75,1.1366666666666667,9.60782456140351,0.6725477192982457,5.865766355328147
acetic_acid,Acetic acid,realistic,1.0,0.0,0.03666666666666667,0.2,0.55,0.7866666666666667,6.649403508771931,0.4654582456140352,4.059591964391328
methanol,Methanol,realistic,1.0,-0.09999999999999998,0.03666666666666667,0.2,0.85,1.1866666666666665,10.030456140350877,0.7021319298245614,6.1237912683191205
ethanol,Ethanol,realistic,1.0,-0.02999999999999997,0.03666666666666667,0.2,0.75,1.0166666666666666,8.593508771929825,0.6015456140350878,5.246506564149809
caustic_soda,Caustic soda,realistic,1.0,-0.5479999999999999,0.03666666666666667,0.2,0.4,1.1846666666666668,10.013550877192985,0.700948561403509,6.113470271799484
copper,Copper,realistic,1.0,0.56,0.03666666666666667,0.2,0.25,-0.07333333333333336,-0.5299800000000002,-0.037098600000000016,-0.3235632408906818
nickel,Nickel,realistic,1.0,-0.03999999999999998,0.03666666666666667,0.2,0.5,0.7766666666666666,6.564877192982456,0.45954140350877193,4.007986981793132
zinc,Zinc,realistic,1.0,-0.5399999999999999,0.03666666666666667,0.2,0.35,1.1266666666666665,9.523298245614033,0.6666308771929823,5.81416137272995
lead,Lead,realistic,1.0,0.09000000000000002,0.03666666666666667,0.2,0.3,0.4466666666666666,3.775508771929824,0.2642856140350877,2.3050225560527022
